"","Rating","Age","Income","Cards","Education","Loans"
"1428","good",46,3,2,2,2
"402","bad",29,2,2,2,2
"2094","good",41,3,1,2,2
"2135","good",48,3,1,1,1
"1435","good",39,2,2,2,2
"1534","good",39,3,1,2,1
"1518","good",39,3,1,2,1
"1352","good",39,3,1,2,2
"346","bad",22,3,2,2,1
"1911","good",36,2,1,2,1
"1168","good",42,3,1,2,1
"2189","good",37,2,1,1,1
"39","bad",21,2,2,1,1
"757","bad",38,1,2,1,2
"1417","good",44,1,2,2,2
"860","bad",25,1,2,2,2
"1561","good",29,3,1,2,1
"1599","good",47,3,1,2,1
"1182","good",34,2,1,2,1
"2442","good",28,2,2,1,1
"2062","good",54,3,2,2,1
"191","bad",34,1,1,1,1
"2307","good",42,2,2,1,2
"855","bad",32,1,2,2,2
"2385","good",30,2,2,2,2
"1659","good",34,3,2,1,2
"1985","good",33,1,1,1,1
"443","bad",26,3,2,1,1
"1778","good",48,2,2,2,2
"2055","good",25,2,1,1,1
"1051","good",29,2,2,2,2
"1587","good",33,2,1,1,1
"272","bad",20,1,2,2,2
"843","bad",25,2,2,1,2
"1354","good",39,3,1,2,1
"1855","good",38,3,1,1,1
"704","bad",26,2,2,1,2
"215","bad",52,2,2,1,1
"1902","good",51,2,2,1,2
"408","bad",32,2,1,2,1
"111","bad",20,2,2,1,2
"868","bad",23,2,2,1,2
"690","bad",40,1,2,1,2
"561","bad",21,2,2,1,2
"1350","good",27,2,1,2,1
"1594","good",45,2,2,1,1
"894","bad",25,2,2,2,2
"1890","good",32,2,2,1,2
"553","bad",42,2,1,2,1
"1338","good",41,3,1,2,1
"772","bad",20,2,2,1,1
"1897","good",25,3,1,2,1
"1491","good",34,3,2,1,2
"1195","good",40,2,1,2,1
"1649","good",43,3,1,1,1
"2175","good",37,3,2,2,2
"1508","good",29,2,2,2,2
"1015","bad",27,2,2,1,1
"1997","good",33,3,1,2,1
"1122","good",40,3,2,2,2
"1776","good",39,2,2,1,2
"1272","good",30,2,2,2,2
"1237","good",48,3,1,1,1
"68","bad",33,1,2,2,2
"513","bad",28,2,2,1,2
"1563","good",35,2,1,2,1
"2009","good",39,2,2,1,2
"1931","good",27,3,2,2,1
"1510","good",57,3,2,1,1
"1368","good",25,3,2,2,2
"496","bad",39,2,2,2,2
"1218","good",36,3,2,2,2
"1152","good",49,3,2,2,2
"100","bad",43,1,2,2,2
"2146","good",26,3,2,2,2
"1793","good",22,3,1,1,1
"785","bad",34,2,1,1,1
"1035","good",42,3,2,2,2
"351","bad",32,2,2,1,2
"386","bad",30,2,1,1,1
"1092","good",47,2,2,1,2
"2157","good",44,3,2,2,2
"1248","good",29,2,1,2,1
"1142","good",31,2,2,2,1
"2464","good",28,3,1,2,2
"577","bad",37,1,2,2,2
"2","bad",22,2,2,2,2
"1903","good",36,3,1,1,1
"795","bad",30,1,2,1,2
"1944","good",36,3,2,2,2
"1018","bad",39,2,2,1,2
"929","bad",26,1,2,2,2
"1438","good",50,3,2,1,2
"283","bad",29,1,2,1,2
"1039","good",40,1,2,1,2
"1112","good",38,3,1,1,1
"1309","good",27,3,2,1,2
"738","bad",29,1,2,2,2
"270","bad",41,2,2,1,2
"147","bad",21,1,2,2,2
"1507","good",57,3,2,2,2
"2308","good",41,3,2,1,1
"2010","good",30,3,2,2,2
"311","bad",26,2,2,1,2
"1184","good",28,3,1,2,1
"2439","good",44,1,1,2,1
"1800","good",36,2,2,2,2
"608","bad",35,2,2,1,2
"1295","good",47,3,2,2,2
"666","bad",35,1,2,1,2
"2260","good",42,3,1,1,2
"166","bad",25,2,2,1,2
"1191","good",33,2,1,2,2
"1171","good",45,3,2,2,2
"1314","good",39,3,2,1,2
"1573","good",35,3,1,1,1
"1679","good",23,3,1,2,1
"99","bad",22,1,2,1,2
"1322","good",42,1,1,1,1
"1658","good",38,2,1,1,1
"1462","good",28,2,2,1,2
"1624","good",33,3,1,2,2
"2167","good",35,2,1,2,1
"1553","good",41,3,2,1,2
"2258","good",32,3,1,1,1
"1852","good",47,1,2,2,2
"1816","good",34,2,1,1,1
"1156","good",21,3,1,2,1
"2390","good",38,2,2,2,1
"1528","good",43,3,1,2,1
"2417","good",21,3,2,1,2
"172","bad",43,1,2,2,1
"2056","good",45,3,1,2,1
"2433","good",21,3,2,1,2
"2292","good",40,2,2,1,2
"482","bad",39,1,2,2,2
"707","bad",41,1,2,1,2
"1795","good",44,3,1,1,2
"1093","good",33,2,2,1,2
"1565","good",40,2,1,2,2
"76","bad",36,2,2,2,2
"78","bad",31,2,2,1,2
"1225","good",53,3,2,2,2
"463","bad",43,3,2,2,2
"2428","good",40,1,2,2,2
"1208","good",29,3,2,2,2
"2120","good",49,2,1,1,1
"1542","good",38,3,2,2,2
"227","bad",26,1,2,1,2
"1919","good",48,3,2,1,1
"1253","good",41,2,2,2,2
"1264","good",41,1,2,2,2
"1440","good",33,3,2,2,2
"2304","good",59,1,2,1,2
"732","bad",34,2,2,2,2
"1176","good",42,3,2,2,2
"1857","good",50,2,1,2,1
"415","bad",22,1,2,1,2
"1986","good",44,2,1,2,1
"830","bad",27,3,2,1,2
"1590","good",25,3,2,1,2
"1694","good",61,3,1,1,1
"1878","good",39,3,2,1,2
"1751","good",36,1,2,2,2
"493","bad",23,2,2,2,1
"428","bad",31,2,2,2,2
"1512","good",62,2,2,1,1
"2360","good",38,2,1,2,2
"1601","good",39,2,1,1,1
"1856","good",29,2,1,1,1
"950","bad",24,3,1,2,2
"1938","good",35,3,1,2,1
"2187","good",45,2,1,1,1
"1582","good",50,2,1,1,1
"297","bad",32,1,1,2,2
"1885","good",40,2,1,1,1
"2381","good",44,3,2,1,2
"2169","good",24,2,2,2,2
"460","bad",33,1,2,1,2
"1639","good",33,2,1,2,1
"2168","good",28,3,1,1,1
"1162","good",35,3,2,1,2
"2374","good",54,2,2,2,2
"113","bad",45,1,2,1,2
"1185","good",29,3,2,2,2
"1522","good",38,2,2,1,2
"376","bad",31,1,2,1,1
"1259","good",46,3,1,2,1
"2402","good",30,2,2,2,2
"731","bad",36,1,2,2,2
"114","bad",44,2,2,2,2
"794","bad",26,2,2,2,2
"1040","good",33,2,1,1,1
"1539","good",30,3,2,2,2
"1579","good",42,2,1,1,1
"23","bad",23,1,2,2,2
"1078","good",38,2,2,1,2
"2445","good",21,3,2,1,2
"2460","good",28,2,1,1,1
"674","bad",26,1,2,1,2
"503","bad",38,3,2,2,1
"1829","good",28,3,1,2,1
"1785","good",28,3,2,2,2
"1951","good",32,2,1,1,1
"2426","good",39,2,1,2,2
"2198","good",27,3,2,1,2
"2081","good",36,3,1,2,1
"1116","good",55,2,1,1,1
"668","bad",20,2,2,1,1
"1262","good",25,3,1,1,1
"1193","good",32,3,1,1,1
"1302","good",35,2,1,1,1
"1167","good",36,2,1,1,1
"228","bad",32,2,2,2,2
"524","bad",29,2,2,2,2
"325","bad",31,1,2,2,2
"317","bad",45,2,2,2,2
"1044","good",48,3,2,2,2
"798","bad",27,2,2,2,1
"724","bad",42,1,2,2,2
"1568","good",38,3,1,2,2
"388","bad",44,2,2,1,2
"946","bad",36,2,2,2,2
"2366","good",40,1,1,1,1
"479","bad",30,3,2,1,2
"1488","good",20,3,2,2,2
"569","bad",30,1,2,1,2
"145","bad",22,2,2,2,2
"2191","good",46,2,2,1,2
"2448","good",38,2,1,2,1
"606","bad",27,1,2,2,1
"1228","good",30,3,2,1,1
"2074","good",33,2,2,2,2
"2032","good",32,2,2,1,2
"1714","good",40,3,2,1,2
"2355","good",36,3,2,1,2
"2016","good",40,2,2,2,2
"1520","good",26,2,2,2,2
"620","bad",36,1,2,2,2
"1844","good",33,2,1,2,2
"890","bad",21,1,2,1,2
"2289","good",36,2,2,2,2
"2457","good",34,3,1,2,2
"1100","good",40,3,1,1,1
"1633","good",39,3,2,1,2
"1114","good",31,1,2,1,2
"808","bad",38,2,2,2,2
"2106","good",43,3,1,2,2
"2318","good",42,3,2,2,2
"1527","good",28,3,1,2,1
"525","bad",47,2,2,1,2
"2011","good",41,2,1,1,1
"473","bad",37,1,2,1,2
"1840","good",22,3,1,1,1
"2314","good",38,3,2,1,2
"343","bad",34,1,2,2,2
"1987","good",34,3,1,1,1
"1689","good",49,2,2,2,2
"559","bad",40,2,2,2,2
"649","bad",24,2,2,1,2
"104","bad",21,2,2,1,2
"1608","good",29,3,1,2,1
"930","bad",48,1,2,2,2
"1461","good",50,2,2,2,2
"2083","good",36,2,1,1,1
"1246","good",43,2,1,2,1
"1560","good",29,3,1,1,1
"816","bad",23,3,2,2,2
"309","bad",23,2,2,2,2
"921","bad",31,1,2,1,2
"1963","good",45,2,2,1,2
"61","bad",27,1,2,1,2
"2380","good",30,2,1,1,1
"1692","good",37,3,2,1,2
"1110","good",41,3,2,1,2
"1712","good",41,2,1,1,1
"2326","good",32,2,2,1,2
"89","bad",24,2,2,1,2
"2255","good",32,2,1,1,1
"922","bad",30,2,2,2,2
"1278","good",33,2,2,1,2
"512","bad",23,2,2,1,2
"836","bad",24,1,2,2,2
"1310","good",49,3,2,2,2
"230","bad",37,2,2,1,2
"1676","good",24,2,1,2,1
"2276","good",26,2,2,1,2
"2404","good",31,3,2,1,2
"1696","good",41,3,1,2,1
"2421","good",46,3,1,1,1
"743","bad",33,2,2,1,2
"2132","good",35,2,2,2,2
"370","bad",32,3,1,2,1
"1697","good",31,2,1,2,1
"854","bad",41,3,2,2,2
"197","bad",23,3,2,2,2
"2019","good",32,2,2,2,1
"523","bad",24,2,2,1,1
"1478","good",39,2,2,2,2
"2212","good",35,3,2,1,2
"1554","good",24,2,1,1,1
"50","bad",25,2,1,2,1
"2161","good",25,2,2,1,2
"2142","good",30,2,2,2,2
"1558","good",34,2,1,1,1
"864","bad",22,2,2,1,2
"395","bad",27,1,2,1,2
"902","bad",27,2,2,1,2
"17","bad",34,1,2,2,2
"157","bad",30,2,2,1,2
"564","bad",23,1,2,2,2
"964","bad",31,3,1,2,1
"536","bad",48,3,2,1,1
"1306","good",34,2,2,2,1
"19","bad",36,2,2,2,2
"1056","good",43,2,1,2,1
"1257","good",52,2,1,2,1
"821","bad",26,1,2,2,2
"382","bad",26,2,1,2,1
"205","bad",21,2,1,2,2
"722","bad",20,1,2,1,2
"1124","good",35,3,2,2,2
"1961","good",40,3,1,1,1
"998","bad",27,2,2,1,2
"1242","good",34,3,2,1,2
"2181","good",43,2,1,2,1
"1701","good",29,1,2,2,2
"1759","good",23,3,2,2,2
"333","bad",28,2,1,1,2
"327","bad",23,1,2,1,2
"796","bad",35,1,2,2,2
"357","bad",46,1,1,2,1
"1702","good",35,2,1,2,1
"2281","good",24,3,2,1,2
"1439","good",38,2,1,1,1
"177","bad",26,1,2,2,2
"1917","good",27,3,1,2,1
"10","bad",25,2,2,2,2
"2306","good",33,2,2,1,2
"1715","good",30,2,2,1,1
"2164","good",47,3,1,2,1
"597","bad",34,2,2,2,2
"530","bad",35,2,2,2,2
"1803","good",37,2,2,2,2
"1603","good",32,3,1,1,1
"22","bad",29,2,2,1,2
"1947","good",34,2,1,1,1
"937","bad",31,2,2,2,2
"1074","good",52,2,1,2,2
"1373","good",41,3,2,1,2
"833","bad",22,2,2,1,2
"1394","good",38,3,1,2,1
"1706","good",31,3,1,2,1
"1910","good",41,2,2,1,2
"469","bad",24,1,2,2,2
"171","bad",33,1,2,2,2
"1895","good",35,3,2,2,2
"323","bad",28,2,2,1,2
"1019","bad",33,1,2,2,2
"1992","good",54,2,1,2,1
"832","bad",23,2,2,1,2
"1126","good",28,1,2,1,2
"345","bad",27,2,2,2,2
"1140","good",47,3,1,1,1
"2244","good",46,3,2,1,2
"1275","good",28,2,1,2,2
"671","bad",22,2,2,1,2
"1430","good",48,3,1,1,1
"2114","good",41,3,1,1,1
"1515","good",36,2,2,2,1
"2060","good",29,2,2,2,2
"1939","good",30,1,2,2,2
"2253","good",47,3,2,1,2
"1049","good",36,2,1,2,1
"2190","good",38,1,1,1,1
"1103","good",26,3,2,1,1
"2104","good",37,2,2,2,1
"983","bad",24,1,1,1,1
"478","bad",28,2,1,2,1
"1038","good",37,2,1,1,1
"2247","good",47,1,1,2,1
"973","bad",22,1,2,2,1
"1356","good",22,3,1,2,1
"510","bad",27,1,2,1,2
"1898","good",28,2,1,2,1
"2265","good",46,3,2,1,2
"2064","good",39,2,2,2,2
"122","bad",39,2,2,2,1
"1055","good",22,3,1,1,1
"863","bad",32,1,2,1,2
"2435","good",51,3,2,2,1
"379","bad",30,1,2,2,2
"981","bad",32,1,2,1,2
"611","bad",33,3,2,1,2
"1592","good",24,2,2,1,2
"2328","good",41,3,1,1,1
"1","bad",36,2,2,2,2
"488","bad",21,1,1,1,2
"2358","good",44,2,2,1,2
"1157","good",31,3,2,1,2
"1452","good",48,2,2,2,2
"2279","good",49,3,1,1,2
"1923","good",35,1,2,1,2
"280","bad",22,2,2,1,2
"1315","good",49,3,2,2,2
"245","bad",34,2,2,1,2
"1131","good",28,2,1,2,1
"870","bad",26,1,2,2,2
"2214","good",48,3,1,1,2
"442","bad",23,2,1,2,1
"844","bad",23,2,2,1,2
"2309","good",40,3,2,1,2
"2240","good",41,3,1,2,2
"1926","good",40,3,2,2,1
"183","bad",26,2,2,1,2
"1450","good",28,2,2,1,1
"2049","good",30,3,1,1,1
"475","bad",33,1,2,1,2
"1820","good",46,2,2,1,2
"2245","good",40,3,2,1,2
"306","bad",27,2,2,1,2
"729","bad",23,2,2,1,2
"1096","good",36,3,1,2,1
"696","bad",34,3,2,2,1
"928","bad",26,2,2,1,2
"324","bad",32,2,2,2,2
"2073","good",39,3,2,1,2
"1113","good",47,2,1,1,1
"217","bad",41,1,2,2,2
"622","bad",20,2,2,1,2
"499","bad",34,1,2,1,2
"2303","good",27,3,1,1,1
"2444","good",34,2,1,2,1
"2140","good",30,2,2,2,2
"131","bad",33,1,2,1,2
"614","bad",37,1,2,2,2
"637","bad",25,1,2,2,2
"641","bad",33,1,2,1,2
"393","bad",25,2,1,1,1
"1970","good",21,3,1,2,1
"26","bad",28,2,2,1,2
"2447","good",23,2,1,2,1
"636","bad",29,2,2,2,2
"749","bad",21,1,2,2,2
"485","bad",30,2,2,1,2
"2317","good",40,3,2,2,2
"1423","good",33,3,1,2,1
"2107","good",44,3,2,2,2
"445","bad",21,1,2,2,2
"1101","good",42,3,2,2,2
"1159","good",40,2,1,1,1
"2216","good",26,2,1,1,1
"906","bad",39,1,2,1,2
"1014","bad",46,2,2,2,2
"176","bad",25,2,2,1,2
"1908","good",41,3,1,1,1
"1048","good",34,2,1,1,1
"1959","good",28,3,1,1,1
"742","bad",34,1,2,2,2
"1486","good",31,2,1,1,1
"916","bad",38,2,2,1,2
"1524","good",36,2,2,2,2
"1204","good",25,2,1,1,1
"1158","good",42,3,2,1,2
"881","bad",20,2,2,1,2
"1576","good",36,2,1,1,1
"1521","good",40,2,2,1,2
"285","bad",23,1,2,2,1
"880","bad",26,2,2,1,2
"1699","good",41,3,1,1,1
"169","bad",29,2,2,2,2
"62","bad",38,1,2,2,2
"1239","good",42,2,1,2,1
"1537","good",34,3,1,2,1
"178","bad",32,1,2,2,2
"645","bad",31,1,2,2,2
"45","bad",21,2,2,2,2
"2339","good",43,2,1,1,2
"335","bad",34,2,2,1,2
"2153","good",36,2,1,2,2
"365","bad",33,1,2,2,2
"1569","good",31,2,1,2,1
"434","bad",21,1,1,1,1
"848","bad",25,1,2,1,2
"2022","good",33,1,2,1,2
